length.group 1 2 3 4 5 sum(10e9) biomass(10e3t) meanweight(g) meanlength(cm) year
1 0 0 0 0 0 0 0 0 5.25 1972
2 0 0 0 0 0 0 0 0 5.75 1972
3 2.63 0 0 0 0 2.63 1.8 0.7 6.25 1972
4 5.12 0 0 0 0 5.12 5.1 1 6.75 1972
5 11.89 0 0 0 0 11.89 14.3 1.2 7.25 1972
6 26.62 0 0 0 0 26.62 45.3 1.7 7.75 1972
7 32.85 0 0 0 0 32.85 72.3 2.2 8.25 1972
8 31.68 0 0 0 0 31.68 95 3 8.75 1972
9 21.67 0 0 0 0 21.67 65 3 9.25 1972
10 12.12 0 0 0 0 12.12 48.5 4 9.75 1972
11 6.1 0 0 0 0 6.1 23.2 3.8 10.25 1972
12 1.74 1.09 0 0 0 2.83 13.1 4.6 10.75 1972
13 0 2.05 0 0 0 2.05 11.3 5.5 11.25 1972
14 0 4.42 0.2 0 0 4.62 29.5 6.4 11.75 1972
15 0 14.34 0.39 0 0 14.73 110.5 7.5 12.25 1972
16 0 31.56 4.66 0.42 0 36.64 302.2 8.2 12.75 1972
17 0 38.81 21.09 0.66 0 60.56 568.2 9.4 13.25 1972
18 0 28.78 34.25 1.73 0 64.76 696.3 10.8 13.75 1972
19 0 11.88 40.83 1.65 0 54.36 637.3 11.7 14.25 1972
20 0 4.62 27.58 2.92 0 35.12 467 13.3 14.75 1972
21 0 2.48 17.09 2.35 0.2 22.12 325.3 14.7 15.25 1972
22 0 0.73 10.22 2.85 0.16 13.96 222.3 15.9 15.75 1972
23 0 0.38 6.24 3.22 0.46 10.3 193.6 18.8 16.25 1972
24 0 0 3.99 3.35 0.26 7.6 149.2 19.6 16.75 1972
25 0 0 1.95 2.37 0.2 4.52 103.2 22.8 17.25 1972
26 0 0 0.85 0.84 0.27 1.96 44.1 22.5 17.75 1972
27 0 0 0.39 0.64 0.12 1.15 31.3 27.2 18.25 1972
28 0 0 0 0.04 0.06 0.1 2.8 27.5 18.75 1972
29 0 0 0 0 0.22 0.22 6.2 28 19.25 1972
30 0 0 0 0 0 0 0 0 19.75 1972
31 0 0 0 0 0 0 0 0 20.25 1972
32 0 0 0 0 0.07 0.07 2.1 30 20.75 1972
1 0 0 0 0 0 0 0 0 5.25 1973
2 0 0 0 0 0 0 0 0 5.75 1973
3 0 0 0 0 0 0 0 0 6.25 1973
4 7.79 0 0 0 0 7.79 8 1 6.75 1973
5 11.13 1.82 0 0 0 12.95 17.5 1.3 7.25 1973
6 11.43 0 0 0 0 11.43 19.4 1.7 7.75 1973
7 30.09 1.31 0 0 0 31.4 65.1 2.1 8.25 1973
8 70.67 2.16 0 0 0 72.83 157.9 2.2 8.75 1973
9 118.32 14.38 0 0 0 132.7 376 2.8 9.25 1973
10 123.91 34.78 0 0 0 158.69 505.1 3.2 9.75 1973
11 72.85 64.66 0 0 0 137.51 533.3 3.9 10.25 1973
12 45.97 51.58 0 0 0 97.55 450.6 4.6 10.75 1973
13 23.11 49.74 0 0 0 72.85 403.1 5.5 11.25 1973
14 7.26 44.62 0.52 0 0 52.4 340.4 6.5 11.75 1973
15 2.23 40.4 0 0 0 42.63 319.7 7.5 12.25 1973
