age year winter05 winter03 winter02 spring01 spring05 spring04 fill0 fill1 fill2 fill3 autumn08 autumn02
1 1972 4e-04 0.00024 0.00016 0 0 0 0 0 0 0 0 0
2 1972 0.226217391304348 0.135730434782609 0.0904869565217392 0.0052 0.026 0.0208 0 0 0 0 1.02296 0.25574
3 1972 0.167866770186336 0.100720062111801 0.0671467080745342 0.256721122112211 1.28360561056105 1.02688448844884 0 0 0 0 7.41944 1.85486
4 1972 0.0347272727272728 0.0208363636363636 0.0138909090909091 0.0236647940074906 0.118323970037453 0.0946591760299624 0 0 0 0 3.31168 0.82792
5 1972 0.00615 0.00369 0.00246 0 0 0 0 0 0 0 0.2532 0.0633
1 1973 0 0 0 0 0 0 0 0 0 0 0.01 0.0025
2 1973 0 0 0 0 0 0 0 0 0 0 9.94824 2.48706
3 1973 0 0 0 0.00596875 0.02984375 0.023875 0 0 0 0 4.69512 1.17378
4 1973 0 0 0 0.0502110344827586 0.251055172413793 0.200844137931034 0 0 0 0 0.98912 0.24728
5 1973 0 0 0 0.00684014598540146 0.0342007299270073 0.0273605839416058 0 0 0 0 0.058248 0.014562
1 1974 0.0925 0.0555 0.037 0 0 0 0 0 0 0 1.3560008 0.3390002
2 1974 0.29883 0.179298 0.119532 0.013 0.065 0.052 0 0 0 0 9.044808 2.261202
3 1974 0.2007 0.12042 0.08028 0.0042 0.021 0.0168 0 0 0 0 9.2064 2.3016
4 1974 0.0015 9e-04 6e-04 4e-04 0.002 0.0016 0 0 0 0 0.6424 0.1606
5 1974 0 0 0 2e-04 0.001 8e-04 0 0 0 0 0.06472 0.01618
1 1975 0.101 0.0606 0.0404 0.0025307923112315 0.0126539615561575 0.010123169244926 0 0 0 0 1.2216 0.3054
2 1975 1.0538 0.63228 0.42152 0.0615180215581984 0.307590107790992 0.246072086232794 0 0 0 0 9.7216 2.4304
3 1975 0.9001 0.54006 0.36004 0.076034842932359 0.380174214661795 0.304139371729436 0 0 0 0 13.2008 3.3002
4 1975 0.11945 0.07167 0.04778 0.0579415658606361 0.289707829303181 0.231766263442544 0 0 0 0 5.012 1.253
5 1975 0 0 0 0 0 0 0 0 0 0 0.0264 0.0066
1 1976 1.186 0.7116 0.4744 0 0 0 0 0 0 0 0.1728 0.0432
2 1976 3.5283 2.11698 1.41132 0.01 0.05 0.04 0 0 0 0 6.6592 1.6648
3 1976 1.4536 0.87216 0.58144 0.0456 0.228 0.1824 0 0 0 0 15.5144 3.8786
4 1976 0.31565 0.18939 0.12626 0.1683 0.8415 0.6732 0 0 0 0 12.556 3.139
5 1976 0.0273 0.01638 0.01092 0.0347 0.1735 0.1388 0 0 0 0 2.2752 0.5688
1 1977 0.2335 0.1401 0.0934 2e-04 0.001 8e-04 0 0 0 0 1.1456 0.2864
2 1977 3.1162 1.86972 1.24648 0.179908742641609 0.899543713208045 0.719634970566436 0 0 0 0 30.1856 7.5464
3 1977 0.595385 0.357231 0.238154 0.107166194286466 0.53583097143233 0.428664777145864 0 0 0 0 17.7336 4.4334
4 1977 0.07387 0.044322 0.029548 0.0632714676258494 0.316357338129247 0.253085870503398 0 0 0 0 6.1208 1.5302
5 1977 0.00152 0.000912 0.000608 0.0525717451700275 0.262858725850137 0.21028698068011 0 0 0 0 1.1248 0.2812
